feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko00281	Enviroment	Pro-survival	-0.00210061542613262	0.00089860791105214	50	50	0.0236230977600018	0.151187825664012
ko00360	Enviroment	Pro-survival	-0.00202256428058499	0.000882871111990566	50	50	0.026402567317844	0.163525578226647
ko04974	Enviroment	Pro-survival	-0.00337520673269865	0.00148488268377725	50	50	0.0275385965822328	0.165231579493397
ko00590	Enviroment	Pro-survival	-0.00179156444100106	0.000794478650424966	50	50	0.0287299539897371	0.167156095940289
ko05014	Enviroment	Pro-survival	-0.002289519157516	0.00103022076420084	50	50	0.0310054498768236	0.175089599304416
ko00780	Enviroment	Pro-survival	-0.00148523978546668	0.000680103607439534	50	50	0.0338925755191727	0.185924985705176
ko03320	Enviroment	Pro-survival	-0.00195780359094408	0.000917857157343648	50	50	0.0380641607850824	0.203008857520439
ko04141	Enviroment	Pro-survival	-0.00091890527226142	0.000438424977404403	50	50	0.0413863587313367	0.203637180246121
ko00620	Enviroment	Pro-survival	0.00199945776670945	0.000950301525504255	50	50	0.0406399047758792	0.203637180246121
ko00623	Enviroment	Pro-survival	-0.00371320694132726	0.00175663737865121	50	50	0.0397534801037221	0.203637180246121
ko00730	Enviroment	Pro-survival	0.00162342747167601	0.00078391936101165	50	50	0.0437671593107028	0.203637180246121
ko04210	Enviroment	Pro-survival	-0.00265239869546705	0.00128570610825079	50	50	0.044545633178839	0.203637180246121
ko04070	Enviroment	Pro-survival	-0.00103947963289185	0.000503591984566463	50	50	0.0444327910047418	0.203637180246121
ko04964	Enviroment	Pro-survival	0.00141392560770205	0.000690906085516666	50	50	0.0462069203273011	0.204437145899268
ko04920	Enviroment	Pro-survival	-0.00284769685530512	0.00139577534601163	50	50	0.0468501792685824	0.204437145899268
ko03450	Enviroment	Pro-survival	-0.000788768342882623	0.000388787218399114	50	50	0.0480462550416312	0.204997354844293
ko00440	Enviroment	Pro-survival	0.00130020551507087	0.000647983509896457	50	50	0.0504498649057754	0.210573349171932
ko00513	Enviroment	Pro-survival	-0.0012255791457183	0.000617677437454053	50	49	0.0529701405476126	0.21188056219045
