feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko04621	Group	Jackson Labs	0.00255471011164739	0.000932053035626708	50	50	0.0088202801499941	0.0467815963756593
ko04113	Group	Jackson Labs	-0.00334693278411086	0.00122030925646469	50	49	0.00878051934601721	0.0467815963756593
ko00903	Group	Brd__ar Transplant	0.00372519581663712	0.00136356418907551	50	50	0.00902811645903603	0.0476208340696406
ko00250	Group	Broad Institute	-0.00245644858010145	0.0009014801955461	50	50	0.00919415222140607	0.0482316182106548
ko04070	Group	Harvard BRI	-0.00216342564297161	0.000794589457702084	50	50	0.00924677564905334	0.0482440468646261
ko00260	Group	Brd__ar Transplant	-0.00355301389042071	0.00130913598752335	50	50	0.00945623851206598	0.0490702106572073
ko00740	Group	Jackson Labs	0.00446886730880018	0.00164948680764045	50	50	0.00957311113969131	0.0494096058822777
ko00130	Group	Jackson Labs	-0.0113221836702176	0.00421135419483415	50	50	0.010097665947066	0.0513085802423369
ko00643	Group	Jackson Labs	-0.00289742281765417	0.0010777712467421	50	50	0.0101013767352101	0.0513085802423369
ko00710	Group	Har__ar Transplant	-0.00229490310148017	0.000852957075086766	50	50	0.0100450695029333	0.0513085802423369
ko00920	Group	Jackson Labs	0.00407027966611386	0.00151860457927465	50	50	0.0103124527184007	0.0521050242613932
ko00950	Group	Brd__ar Transplant	-0.00368226325428296	0.00137694762885656	50	50	0.0104734563327595	0.0523672816637977
ko03420	Group	Har__ar Transplant	-0.0024547742379702	0.000917718113918603	50	50	0.0104561772650212	0.0523672816637977
ko00521	Group	Har__ar Transplant	-0.00376545512116656	0.00141022754287379	50	50	0.0105842574068296	0.0526470834743856
ko00562	Group	Har__ar Transplant	-0.003321423267282	0.00125066025243004	50	50	0.0109794601818422	0.0543313493534458
ko04974	Group	Jackson Labs	-0.00747349794909714	0.00282759802803215	50	50	0.0113394452608087	0.0555237553702257
ko05016	Group	Harvard BRI	0.00387350384892534	0.00146732672605856	50	50	0.0114325078868126	0.0555237553702257
ko01055	Group	Har__ar Transplant	-0.00135078184400713	0.000511491504542224	50	50	0.0114026081188358	0.0555237553702257
